sequence_identifier	Kingdom	Phylum	Class	Order	Family	Genus	Mfunction
e04da4b8def33c35f89ea26733d5933e	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia
e146aaaa002f0bd40a26633e65fd0af5	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	Acidothermus
e1930c92210dcd1d4d6c9a66c0f8ef2d	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast			
e1e53fea9f76ea521c4b6c7409ba7928	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lechevalieria	Lechevalieria
e238b883e4c163a47d06b07217693ee2	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia
e23ab870019c2650230841a7a3a89c38	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Polaromonas
e2569fd762727382418f84bfdc1a28bf	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas
e2ba495b0c0a6bca12342247bed79386	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae		
e2d2585e790b608f63b32c5e627107c9	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas
e2e57eedd64c2978ff13cb17adaf9d47	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	Rhizobacter
e31477b196277f519194e15668afc96f	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Rheinheimera	Rheinheimera
e38b1d5a8da4ef92dec4b2f31f9429a6	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Cryptosporangiaceae		
e3d89e2cb468faff05f60b9706e44688	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Luedemannella	Luedemannella
e451137ee077f0c6f72cddb95feab78b	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured		
e4acab9308adfdbf67da8e935d32dc83	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia
e4ce28a5ef48c8576a90680cd3dfb764	Bacteria	Actinobacteriota	Actinobacteria	Catenulisporales	Actinospicaceae	Actinospica	Actinospica
e4e561dd50b68c90553b18e3f6f617f4	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
e60cae37db8813e58a1332ba1a53b6c1	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia
e65e0fa7c380dd77397e733876235719	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae		
e73fe3518c890e85349cbd94a0857a44	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
e774bcef080f7e9d9b69f62b0d9385a3	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1
e7af49792aad1d0c017077ecb99fea8e	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84		
e831de811138f2bd520f0e01930c8c8e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium
e86788fb687c9daac31bceae1e9fd7fe	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
e87b1c49e7ac7f948ae9906f30578118	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	uncultured	uncultured
e8be3c890d9d34a0816b0dc826b7ed37	Bacteria	Actinobacteriota	Actinobacteria	Catenulisporales	Catenulisporaceae	Catenulispora	Catenulispora
e90abdbb03f02fffad0fe0ed50c65671	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	Cellvibrio
e934e59150f1392717fcc1cb718f2fba	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1
e96432ccd99bde9813260d5071db4992	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia
e96d98780fb154f5833ebb6afb2198b2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	Mesorhizobium
e97667281f480e7b513256a215e5b5b7	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	Rhizobacter
ea4adf29b68e2eed633ae272318bf0c3	Bacteria	Firmicutes	Bacilli				
ead4c906e6f59ccb54e5a08813aa0866	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast			
eb3e1f6ee1a04df7cd3b43a6fa5baae7	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dokdonella	Dokdonella
eb900fa1799f197c5f4be29a12f18428	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium
ebab0585011d90f95eb023103ba1cb31	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured		
ec3275f38da019e17a3180dfa83822d0	Bacteria	Firmicutes	Bacilli				
ec34ac3aad9d33e2460572b709b926c6	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium
ed032101d5b65f14242fff596f97363b	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured		
ed21dbc692f432c0765218c47c721394	Bacteria	Firmicutes	Bacilli	Entomoplasmatales			
ed42aa76f33668a0b863ba0d92f1d1f3	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma
ed983230ba88d7a9abba1b42e409c7da	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae		
edaa10da970949720360fbd9995a0f03	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
edaf5bd70e083e8dcea7bac9e3590c41	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	Acidibacter
edbce93c9ada825b20b6052659135a2f	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	Dongia
ee0caf2930284ae17fff17d8f1e5d08c	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	Dongia
ee5c57dc1460bef48f6cc4df7ef8f445	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Rheinheimera	Rheinheimera
ee7079176a13c1b25ac73bb17c3da3f1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium
eed2a5a8c75ce92dac336f6d823aa1fd	Bacteria	Firmicutes	Bacilli	Entomoplasmatales			
ef3db46048d82e2f78a9b5bc8a355649	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae		
efa3fd32b5458512436aca0af981ecae	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella	Kribbella
efb42d6ee001fb034a10c1b6590511f2	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Haliangium
efbd2172b50f02eb9927a9584bcbf0fc	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Rheinheimera	Rheinheimera
efc79a6a7d97539776c62648c6edf076	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
eff5936f2afa4835e67cc88785ad5be0	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	Acidibacter
f0ced4e9a49d8575f997cb28382cd1f5	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	Steroidobacter
f0df23522868cf3d8656d30816c96b50	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas
f10c8eab32018124ad88d93148090a6a	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae		
f137fab2382375c3ffa9625db28d22bb	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dokdonella	Dokdonella
f14bff99a96533b00988ce4dd3985866	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
f165fdd4089175089e3d178894641589	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	uncultured
f190a760d76b24879a28bd6051ff0acd	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
f1ebb7cc895f03c003fe015b369bfd66	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	Acidothermus
f1f4c475e4a5b472307cac65bbc95078	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41		
f22a876a4b37d296f3d6edd8c28ef680	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	uncultured	uncultured
f23c503339050c1b947594f3964120fa	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas
f24f2cfdabcb7f2882dea297ea868a97	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter
f2d13e23ef5e875e3c127623b3d3b36a	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae		
f36355de06bb28f09c238ebe1482da48	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	Limnohabitans
f40337817532caaf7b62b12a59af2356	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia
f42775c47be9771cef064241da92adc5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	uncultured	uncultured
f459bed3e0d910081f58433190f18ef4	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium
f475f31517452bc98b80eeddcad83ae5	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured
f520f2bc358a9cade694f843e773c677	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces
f560562a2fb26a43736a10ae2b0a475f	Bacteria	Actinobacteriota	Actinobacteria	Catenulisporales	Actinospicaceae	Actinospica	Actinospica
f59edff15ea8c577a2d96abd488fd55b	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	Dongia
f5f3eed327f8bd5f142dbc339a0bfdbb	Bacteria	Firmicutes	Bacilli	Entomoplasmatales			
f5f780c3e854cefc8a342482006b5199	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae		
f62cdf63acdb333a29ed8b977c2f0682	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae		
f69483cda1af63ea9026049f885a8cb8	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41		
f78abf3d3fc48a13bd00ebd22e3a8926	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1
f7c6bf73a16fc1444bf6afb2a8f9ac5f	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis
f823c725eeb4a4bd0f046bf047ef6b6a	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia
