sequence_identifier	Kingdom	Phylum	Class	Order	Family	Genus	Mfunction
0dcd56026513e29934f4c8309d3eeb66	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium
0df03affb53575c86b47aa96fab9acad	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas
0e3a5287d41ca6f2b8c4b607054738ec	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Rheinheimera	Rheinheimera
0e4a093d4b5e6ee972a3e97f13fca999	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces
0ef673e698803425d4bf3bd9b056bdbc	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	Acidibacter
0f1560f179b71b5ca116abe10ed9f214	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	Halomonas
0fda2c63d869f7125d52e145090a5013	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium
1022bd48a4e827fbc0167c7e8cd10be0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae		
10748794c8627c63b4bfe70533a61351	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	Acidothermus
108e1efd9c2cf518c46455ff38834a3c	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus
10eddedb6b00c6cb8920c935ffaa126b	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	Actinophytocola
113bbd68e78a6b8d9c73ae7b4925479c	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	Acidibacter
116543e3934212a4d1819e2818fea60b	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium
11700ffbec5be7e9edf42d6d266c9b0c	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	Mesorhizobium
1176d2b73428cbfbaa75261bc740be05	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	uncultured	uncultured
11e262e68d9edec123bb885b06855b19	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
1282282b76a4bc7cd0c26c33fd682451	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces
12eb8bc9db2731069aa28004ede57a5f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
135a124e00a945aa0eb04bf3fba67470	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia
13722ae37e5e71e836f253e3468c6380	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella	Kribbella
13a273615cd616aad24d7d16d7b7bf00	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae		
13c69ecf989a84530e843ecef1e49ccf	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces
14027ea6afbd3108548273b61c91f931	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas
144a6e8d38e6829bba91b912e8b0c462	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2			
1454d0368cd6b4f95cc2f03ff5d670eb	Bacteria	Firmicutes	Bacilli	Entomoplasmatales			
14c199456c02fa73862422e5f10d96f4	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	uncultured	uncultured
14d506afd37f09858d52e2bcf0dce93d	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Dyella
15982183f7b71d7b8c5e1f2c0cb8a723	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	Cellvibrio
159fac1375b0fcd02b18786dccb68dcc	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia
161a4734588a338b4ffa873b97a052de	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga
166600323b78859be08816105db9e04c	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	Cellvibrio
16e2ecf3df188d58b03d1d0da47a2739	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	Dongia
1761da10f4f1a9188879080eddd1666f	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	Steroidobacter
17acbc8c5a44e8314a41db16f077ab10	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	Dongia
17d01b8eaef499a2679ae115429f827b	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1
17d9e680ab91727f17d42571e89e991e	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	Duganella
17fc20d967575fa7f9b11f9b9dac09df	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
18099e27a8d40fde7a45c75cd86f6edc	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lechevalieria	Lechevalieria
192893b3c425c049b0dc93e02f392e1c	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae		
1937a84e3de27fa7c7d4d43747b25266	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
19cfcbfcd3f81925c3e2e8e6e4e4f8b5	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	uncultured	uncultured
19dbecfc20f12e2824c6425e0055c4aa	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	Gemmata
19e49e8e008cb6b033430d7eccd23067	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	Duganella
1a5dd56262b0388165e4d2dccc94b868	Bacteria	Firmicutes	Bacilli	Entomoplasmatales	Spiroplasmataceae	Spiroplasma	Spiroplasma
1a6e29cb17426fc01ac2cab3297c4f67	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas
1a768c1532dbdd1cba240e836559c148	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia
1af4cae61d86a0b61236695db4956546	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	Niastella
1af557790c22fb59bd67633f92f9cae8	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae		
1c42ac376b2f8d5128f4f7dd1bdce74d	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia
1caaf55f9274a58cf7899050d941a784	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
1cb25457174c8060ebba593481606330	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured			
1d0f9ee7e34a31c9957e9a5f41a91fbb	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured			
1d596ac489f25ca864a851152bcd136c	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	Halomonas
1da38813f74a81c001ba06dd4a104820	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae		
1ea3ce52d78a8a0a506d7252d534b1d9	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces
1ebe838e4b57adb5dc4d8e793be4779e	Bacteria	Firmicutes	Bacilli	Entomoplasmatales			
1f7301668fa401a4badaa21ed3379442	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia
1f9ce40202e0e47b5f182fd7b1185d00	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium
1fc1199b4482b03c525597515f2b3da9	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
200851bf386cb9494de8c03eaa8494b9	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Rheinheimera	Rheinheimera
200a4d81b58106849f65185fed196a54	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Dyella
2050758881649a5553d43a852e28f689	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	Niastella
2063a52c81c43a57708bd7b9303b9ac7	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia
2097d3c9b4798a88c81ed3a4b87e84d7	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia
20bbed75df3cce0e734a5e2300eaf2b7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodomicrobiaceae	Rhodomicrobium	Rhodomicrobium
21b59881a7551df0a6eb9cca1d8b3800	Bacteria	Proteobacteria					
21fbf9c5b2efbfa6ebf5525ec96368ea	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1
2294b6f5098b83b34f999c5c33d9ffc2	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Haliangium
22ad66bace118a7ae63a0cb9b5543eb9	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium
235aa070d27d9a8f9327d0a105d754ed	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia
2374de4e1ff0a297899529d0e9ed6e90	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
2397ff5ed29739095b3711cf331bc639	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium
239f1f837c51620172a0c096346cc505	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae		
23cae6de40d831c7d57183a528159804	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	Niastella
2401c3ddffcb8b11ce86ae5998376fa9	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Inquilinaceae	Inquilinus	Inquilinus
241840f3b659f61649c50e970fa27cc4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
242e92d512c91b761157a841a3a17867	Bacteria	Firmicutes	Bacilli				
2454d2f79cf91dfb8d7d29840099d14f	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga
248315e726f21ed46cefb23c0e034559	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia	Ohtaekwangia
24aa58c1939cb5d147088216f617aa77	Bacteria	Proteobacteria	Alphaproteobacteria				
24c7948dd1dafb69ecec4712f8a06708	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14		
24cd9028ca511782daa3d1605233f968	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	Acidibacter
24d2bd8536cee4e9a032dde772fc5f24	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia
24ec21edd7d224d2334796516cbf48b0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1
2510420886fd8b3825a7c98e7b040bcc	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Haliangium
2595d77ec83b218c7b137d20b888ba42	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Kibdelosporangium	Kibdelosporangium
25b6b81222d34cc12bb9b56fdc240a5d	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	Acidibacter
26210d0d7d49b28ae6b22d50fb7c4643	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
2645648f7cffc1335aec97db8d16d30c	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium
266c4ce74048406ec52e8585d5d1b5e2	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	uncultured	uncultured
2690e11aeeaf34bc09dbfe2f40a02f94	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
26b55ce0c2b1578f70d13a7554736a20	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium
26bb8de8ffbbf4cd40df5b5804c62d02	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured
26f06186e7c4d28751a9960ba68b0027	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Haliangium
270d3f040d0eed1b1f2411fe078f7ddd	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	Actinophytocola
2739f9c8e54469cd84ffe8e2d0f472a5	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae		
273b802546b0d5acbd073792fd7d734c	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	Acidothermus
2784941d513c677f60e350a4aede343c	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter
278cf19faf2d73cf294d3a0ede09a7d4	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas
27a5fe09c137ae40621b88fe43c555b6	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Rheinheimera	Rheinheimera
27a65a0f300cd6f684a8c61957130cf2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas
27ffa87fa55015f27c1fbb6c53d7b9a2	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas
2818c4c48f0ef1d6cdefa731e3cf5e95	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	Duganella
28897c9ddbd6c3f1cf5da8c0a0ea65f6	Bacteria	Firmicutes	Bacilli				
28a008bfa824396445563bd7908ebb7c	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter
28a1b7f34ee9d592d66823d3d9ead9f1	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae		
29712534a82217128fa62f0f70b7b0fe	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	Candidatus Phytoplasma
29c06052efd8160b1d50a9e65149e418	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia
29cb3b154cf44a9e0abf289cba117973	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	Acidibacter
29f4214406d33d2cd7b94058d5f20703	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	Niastella
2a4b99805b891a58fe5a54f530041609	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium
2aa42f9ff7c06d30001d0eca50ef5040	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas
2aaa0e911f41b29d0bbaafa36f29d2e6	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Kibdelosporangium	Kibdelosporangium
2acf3561d37c4c4cb073afe3eab5b4a9	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	Rhizobacter
2b010dedf1ef13c8a4f54cb175deb799	Bacteria	Firmicutes	Bacilli				
2bdd8afba049f9e7b3a6ea37b30c631a	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces
2bf27c55fc951d707382ecb062a1e3f9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
2bf35622552ac3f6f307610743de9df2	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia
2c0865bb44e78411ef835eb719280e14	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium
2d1eb7bfb3bef42276c1324b70aa48bd	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Dyella
2d444d64751fa310088f99ae4e07116d	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	Reyranella
2d7498481e3c9ba2330e5c52e5d4de56	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium
2daaf99cdf275a1b9924d165299cbeb0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia
2e0d08e39f1abcb4db57de4f576924a7	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium
2e124b6eb8fb970fb34c85f7be3529cf	Bacteria	Chloroflexi	TK10				
2e21f97f29a5d3f28b3046490b26de93	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	Noviherbaspirillum
2e8b1295ae45684dcc3b6e869192ebf7	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1
2f767b492e75fbbf998901ddadfe9412	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
2f8b44e2c1dcb87d4cfd97c8e56ab0ad	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae		
2fc915e6273f8e9a99eae5c3d28885c3	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas
2fcc633bd40eaa7384a5b4b77e6b012f	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast			
2fcea875d3db77209c346ed0055e7046	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces
2fcf38354470944698778e334887e912	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lechevalieria	Lechevalieria
2fde1fd35e1d1bd1bc0f14767967b693	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia
30401d33e09570c07e17c3206aff819e	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium
3050c2bb731b31dbcfe17eef6f4e1df1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
30526f6cacbdeef501fae2dde6131cdd	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	Steroidobacter
305716005bae895148568355da60e9e8	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma
307e3ed344d56c292bb4007f990403e1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia
30de21c9abf3fc556cd2ce8d18a2a1ef	Bacteria	Chloroflexi	KD4-96				
30ef97e6fa09199342e9605899895e19	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	Dongia
329b2dd558183e34767935b049a987e6	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	Acidibacter
329f38acfc1418007ce55b72a1516e4b	Bacteria	Firmicutes	Bacilli	Entomoplasmatales			
32f2b0f71240b1c4a391a1b7612ba975	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium
33d08e588f6d7c8e767304cbf4febae5	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia
343918170a2da97deb2d76c7e29260e8	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas
354e7212795ee6dcb0fd5261931b54a4	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium
3562e24e5f089c10a39bd0746a88fa71	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus
358b5542e0cc34a28f360aec576cbaa8	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Pseudoxanthomonas
3590261733ebf5b32c198cbb43ab627f	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
35fd37f43d0825ab1c1ab1ce2ff4429e	Bacteria	Firmicutes	Bacilli				
3670f61f65f1891630b105b13c797100	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas
36798129da4157c887d9f60883e5fc2a	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1
369c3ed93689e0de8b9fa63bfd6094d3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium
370206c1846ff41c64fc51b17f7be78d	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	uncultured
3705cb0151f953d37df3ad82dc2d20b1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas
376299a54d52168cfa1633dd688ce998	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae		
38421c2d9d1c1329e91ecdec000c6f42	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia
3871f3071153a5d1c589c597707a8dad	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia
39779d718cc01d1739f4891d3bac170e	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
3a5935eb3505be1c2d652ecd38e7fbc2	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
3abe1c3f03cda1cdb12f6e949dfb97f7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	Mesorhizobium
3b6a75ab977aa36f43e41c26ee82d1e7	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas
3c07d3cab2840c4758656791df3fdc05	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Kibdelosporangium	Kibdelosporangium
3c206bc29eaa42a3f967524aa9624854	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	Steroidobacter
3c4c3b192d0f43990354c8ed16219ef7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	Rhodoplanes
3c9b029dc4d86d31f02df4b624be0cf2	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia
3d1dc19e06a96b82d27987229afd99c5	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis
3d2b97bf79fc7ea5b545e3915d85e8c8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	uncultured
3d30b40d75ea765b1f5eac8d34cc180d	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1
3d915ffae96c1a627abbf6125cefe933	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Dactylosporangium	Dactylosporangium
3dc1ab76ee5f304a018ea68f73fc124a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium
3e4b30de61bf646b3abf99b468972a0e	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	Halomonas
3eadf5542f23c116fc4a94ae6b80f24c	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	Niastella
3eb1034d382edd40d2dcdc7405b0d194	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae		
3ed1dd076b6484d1f854e5387ddd3861	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas
3ff9a0087b09491657d08e71224c2c55	Bacteria	Firmicutes	Bacilli				
4022430b8814216d45a95e7584bea64f	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae		
402dbdedde28568373d902c1aa2a6bd2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	Mesorhizobium
409bbe40f831767a91f41049d3b66b1b	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured
40b766141835fa3339f3a51e9227f38d	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	Actinophytocola
4101e0fd86cbac50c4f49f42b7de063b	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae		
414f57b4f3c8e808d68b976a806e96c8	Bacteria	Chloroflexi	KD4-96				
415d8628d0902d590a724ae8f5232a1f	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae		
41630be7c1f89f065a40d0bc08889892	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast			
41eea145a755660c1280bee258ec8712	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas
422a9b18cb70270449cb0a4755eefdf3	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia
42a49400e6231850bb24d1e44b0f0fdb	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Devosia
